15.5;Święto Polskiej Muzyki i Plastyki, Dzień Niezapominajki
16.5;Dzień Straży Granicznej
17.5;Międzynarodowy Dzień Telekomunikacji
18.5;Międzynarodowy Dzień Muzeów
19.5;Dzień Mycia Samochodów, Międzynarodowy Dzień Rysowania Mahometa
20.5;Międzynarodowy Dzień Płynów do Mycia Naczyń
21.5;Światowy Dzień Rozwoju Kulturalnego, Dzień Kosmosu
22.5;Dzień Praw Zwierząt, Dzień Pac-Mana, Światowy Dzień Różnorodności Biologicznej
23.5;Dzień Spedytora
24.5;Dzień Cyrylicy, Europejski Dzień Parków Wodnych
25.5;Dzień Stemplarza, Dzień Piwowara, Dzień Mleka, Dzień Ręcznika
26.5;Dzień Matki, Dzień Gruzji, Dzień Znalezienia Kaspara Hausera
27.5;Dzień Samorządu Terytorialnego
28.5;Dzień Bez Prezerwatywy
29.5;Dzień Działacza Kultury
30.5;Dzień Bez Stanika
31.5;Dzień Pracownika Przemysłu Spożywczego, Dzień Bociana Białego, Światowy Dzień bez Tytoniu (dawniej obchodzony 7 kwietnia)
1.6;Święto Bułki, Dzień Dziecka, Dzień bez Alkoholu, Światowy Dzień Mleka
2.6;Dzień Leśnika, Dzień Sąsiada, Dzień bez Krawata
3.6;Dzień Dobrej Oceny
4.6;Dzień Drukarza, Dzień Demokracji
5.6;Dzień Ochrony Środowiska
6.6;Dzień bez Samochodu, Dzień Slayera, Światowy Dzień Pocałunku
7.6;Dzień Chemika
8.6;Dzień Informatyka
9.6;Dzień Agugaga, Dzień Przyjaciela, Dzień Księgowego
10.6;Dzień Straży Granicznej
11.6;Dzień podeptanych na śmierć w czasie tańca.
12.6;Święto Biura Ochrony Rządu, Dzień Stylisty Paznokci
13.6;Święto Dobrych Rad
14.6;Dzień Dziennikarza Obywatelskiego, Światowy Dzień Krwiodawstwa
15.6;Dzień Wiatru
16.6;Międzynarodowy Dzień Pomocy Dzieciom Afrykańskim
17.6;Dzień Walki z Pustynnieniem i Suszami
18.6;Dzień Ewakuacji
19.6;Teksański Dzień Emancypacji
20.6;Światowy Dzień Uchodźcy
21.6;Święto Muzyki, Dzień Deskorolki
22.6;Światowy Dzień „Garbusa”, Dzień Kultury Fizycznej
23.6;Dzień Ojca, Dzień Służby Publicznej
24.6;Światowy Dzień Chorych na Osteoporozę, Dzień Przytulania
25.6;Dzień Stoczniowca, Światowy Dzień Smerfa
26.6;Międzynarodowy Dzień Solidarności z Osobami Uzależnionymi od Narkotyków, Międzynarodowy Dzień Pomocy Ofiarom Tortur
27.6;Światowy Dzień Rybołówstwa, Dzień Walki z Cukrzycą
28.6;Narodowy Dzień Pamięci Poznańskiego Czerwca 1956
29.6;Dzień Marynarki Wojennej, Dzień Ratownika WOPR
30.6;Dzień Motyla Kapustnika
1.7;Światowy Dzień Architektury, Dzień Psa, Dzień Jazzu
2.7;Dzień Dziennikarza Sportowego, Międzynarodowy Dzień UFO
4.7;Święto Hot-doga, Światowy Dzień Mleka
5.7;Dzień Łapania za Biust, Dzień Tynwaldu
6.7;Światowy Dzień Pocałunku
7.7;Dzień Spółdzielczości
10.7;Dzień Sił Zbrojnych Mauretanii
11.7;Światowy Dzień Ludności
12.7;Światowy Dzień Imprezy
14.7;Dzień Łapania za Pupę
15.7;Dzień bez Telefonu Komórkowego
18.7;Międzynarodowy Dzień Nelsona Mandeli
19.7;Dzień Czerwonego Kapturka
22.7;Dzień Liczby Pi
23.7;Dzień Włóczykija
24.7;Dzień Policjanta
25.7;Dzień Bezpiecznego Kierowcy
29.7;Święto narodowe Ólavsøka (Wyspy Owcze)
31.7;Wigilia Lughnasadh
1.8;Narodowy Dzień Pamięci Powstania Warszawskiego (Dzień Pamięci Warszawy)
2.8;Dzień Karmienia Piersią, Światowy Dzień Pamięci o Zagładzie Romów
3.8;Święto Sił Zbrojnych w Gwinei Równikowej
4.8;Święto Rewolucji Burkina Faso
5.8;Międzynarodowy Dzień Piwa i Piwowara
6.8;Dzień Musztardy
7.8;Dzień Republiki (Wybrzeże Kości Słoniowej)
8.8;Dzień Transportu
9.8;Międzynarodowy Dzień Ludności Tubylczej na Świecie
10.8;Dzień Przewodników i Ratowników Górskich
11.8;Dzień Konserwatora Zabytków
12.8;Międzynarodowy Dzień Młodzieży, Dzień Pracoholików
13.8;Międzynarodowy Dzień Osób Leworęcznych
14.8;Dzień Energetyka
15.8;Święto Wojska Polskiego
16.8;Światowy Dzień Krwiodawstwa
17.8;Dzień Pozytywnie Zakręconych
18.8;Dzień Latarni Morskiej
19.8;Światowy Dzień Choroby Żołądkowej
20.8;Dzień Komara, Dzień przepieprzonych z hukiem lat
21.8;Dzień Ninoy Aquino (Filipiny)
22.8;Dzień Pracownika Ochrony
23.8;Europejski Dzień Pamięci Ofiar Nazizmu i Stalinizmu, Międzynarodowy Dzień Pamięci o Handlu Niewolnikami i jego Zniesieniu
24.8;Dzień Windowsa
25.8;113 rocznica śmierci Nietzschego
26.8;Filipiński Dzień Bohaterów
27.8;Dzień Tira
28.8;Dzień Lotnictwa
29.8;Dzień Strażnika Gminnego i Miejskiego
30.8;Międzynarodowy Dzień Pamięci Osób Zaginionych
31.8;Dzień Blogów
1.9;Dzień Kombatanta, Międzynarodowy Dzień Solidarności z Ofiarami Faszyzmu i Terroryzmu
2.9;Wspomnienie Ho Chi Minha
3.9;Dzień Wersalskiego Pokoju
4.9;Dzień Imigranta (Argentyna)
5.9;Dzień Postaci z Bajek (także 5 listopada)
7.9;Dzień Zwycięstwa w Mozambiku
8.9;Dzień Dobrych Wiadomości, Dzień Walki z Analfabetyzmem, Dzień Marzyciela, Narodowy Dzień Czytania Pana Tadeusza
9.9;Międzynarodowy Dzień Urody
10.9;Światowy Dzień Zapobiegania Samobójstwom
11.9;Dzień Histerii i Egocentryzmu w USA
12.9;Dzień Wojsk Lądowych, Dzień Programisty (w latach przestępnych), Dzień Współpracy Południe-Południe
13.9;Dzień Kolejarza, Dzień Programisty (w latach nieprzestępnych), Dzień Całowania Chłopaków w Usta
14.9;Wspomnienie Podwyższenia Krzyża Świętego
15.9;Dzień Prostaty, Dzień olewania systemu
16.9;Dzień Warstwy Ozonowej
17.9;Dzień Nonsensopedii, Rocznica uchwalenia konstytucji USA
18.9;Międzynarodowy Dzień Geologa
19.9;Dzień Dzikiej Flory, Fauny i Naturalnych Siedlisk
21.9;Dzień Służby Celnej, Międzynarodowy Dzień Pokoju na Świecie
22.9;Dzień Ćwiczenia Przed Lustrem Prośby o Podwyżkę Płacy, Dzień bez Samochodu
23.9;Dożynki, Pierwszy dzień miesiąca Asvina.
24.9;Dzień ogłoszenia tysiąclatki
25.9;Dzień Budowlańca
26.9;Europejski Dzień Ptaków, Dzień Całowania Dziewczyn
27.9;Światowy Dzień Turystyki, Dzień Podziemnego Państwa Polskiego
28.9;Światowy Dzień Morza
29.9;Dzień Hipochondryka
30.9;Dzień Chłopaka, Międzynarodowy Dzień Tłumacza
1.10;Międzynarodowy Dzień Wegetarianizmu, Międzynarodowy Dzień Pracownika Ochrony Zdrowia, Międzynarodowy Dzień Osób Starszych, Światowy Dzień Ptaków, Międzynarodowy Dzień Muzyki, Międzynarodowy Dzień Walki z Wirusowym Zapaleniem Wątroby, Światowy Dzień Wegan
2.10;Międzynarodowy Dzień bez Przemocy
4.10;Międzynarodowy Dzień Zwierząt
6.10;Światowy Dzień Mieszkalnictwa
8.10;Dzień Marynarki Wojennej Peru
9.10;Światowy Dzień Poczty i Znaczka Pocztowego
10.10;Dzień Kolejarza, Europejski Dzień Przeciw Karze Śmierci
11.10;Dzień Wychodzenia z Szafy
12.10;Międzynarodowy Dzień Reumatyzmu, Dzień Bezpiecznego Komputera
13.10;Dzień Ratownika Medycznego, Dzień Dawcy Szpiku, Dzień Garnituru
14.10;Międzynarodowy Dzień Zmniejszania Skutków Klęsk Żywiołowych
15.10;Światowy Dzień Białej Laski, Dzień Dziecka Utraconego, Międzynarodowy Dzień Kobiet Wiejskich
16.10;Światowy Dzień Żywności, Dzień Papieża Jana Pawła II
17.10;Międzynarodowy Dzień Walki z Ubóstwem
18.10;Dzień Łącznościowca, Dzień Poczty Polskiej (Dzień Listonosza)
19.10;Dzień Normalizacji
20.10;Międzynarodowy Dzień Kontrolera Ruchu Lotniczego, Światowy Dzień Statystyki
21.10;Dzień Ndadaye (Burundi), Dzień Bez Skarpetek, Światowy dzień kartofla
22.10;Światowy Dzień Osób Jąkających, Dzień Caps Locka
23.10;Dzień Stałej Avogadra, Dzień Mola
24.10;Dzień Poborców Podatkowych, Międzynarodowe Święto Roweru, Międzynarodowe Święto Uciekających na Rowerze.
25.10;Dzień Kundelka, Dzień Ustawy o Ochronie Zwierząt
26.10;Światowy Dzień Donacji i Transplantacji
27.10;Światowy Dzień Dziedzictwa Audiowizualnego
28.10;Dzień BSOD-a, Dzień Odpoczynku dla Zszarganych Nerwów
29.10;Światowy Dzień Udaru Mózgu
30.10;Dzień Spódnicy
31.10;Dzień Rozrzutności
1.11;Światowy Dzień Wegan, Dzień Budzicieli Narodu (Bułgaria)
3.11;Święto Myśliwych
4.11;Dzień Taniego Wina
5.11;Dzień Postaci z Bajek (także 5 września), Rocznica Zamachu Prochowego
6.11;Międzynarodowy Dzień Zapobiegania Eksploatacji Środowiska Naturalnego podczas Wojen i Konfliktów Zbrojnych
7.11;Dzień Feministek
8.11;Święto konstytucji Mikronezji
9.11;Światowy Dzień Jakości, Światowy Dzień Gry Wstępnej
10.11;Dzień Młodzieży, Dzień Jeża
11.11;Japoński Dzień Singli
12.11;Światowy Dzień Bicia Rekordów
13.11;Święto Służby Uzbrojenia i Elektroniki
14.11;Dzień Seniora
15.11;Święto Wojskowego Centrum Geograficznego (Polska)
16.11;Dzień Tolerancji
17.11;Dzień Studenta, Dzień bez Długów
18.11;Światowy Dzień Rzucania Palenia Tytoniu, Urodziny Dziadka Mroza
19.11;Dzień Toalet
20.11;Dzień Uprzemysłowienia Afryki
21.11;Dzień Pracownika Socjalnego, Światowy Dzień Życzliwości i Pozdrowień
22.11;Dzień Kredki
23.11;Dzień Licealisty
24.11;Katarzynki
25.11;Dzień Pluszowego Misia, Dzień bez Futra, Dzień Tramwajarza, Dzień Kolejarza, Międzynarodowy Dzień Eliminacji Przemocy wobec Kobiet
27.11;Dzień Maaveerar (Święto mniejszości etnicznej Indii), Wspomnienie Świętych Prymitywa i Fakunda
28.11;Dzień Pocałunku, Dzień Podłości
29.11;Dzień Chorążego
30.11;Dzień Białych Skarpetek
1.12;Światowy Dzień Walki z AIDS
2.12;Światowy Dzień Walki z Uciskiem
3.12;Międzynarodowy Dzień Osób Niepełnosprawnych, Dzień Naftowca i Gazownika
4.12;Barbórka, Dzień Wojsk Rakietowych i Artylerii
5.12;Międzynarodowy Dzień Wolontariusza
6.12;Dzień Anioła
7.12;Międzynarodowy Dzień Lotnictwa Cywilnego
8.12;Światowy Dzień Dogmatu, Dzień Kupca, Dzień oświecenia Buddy, Dzień studenta w Bułgarii
9.12;Dzień Dziewic
10.12;Dzień Odlewnika, Dzień Bota
11.12;Dzień Chruścików
12.12;Święto Konstytucji Rosji
13.12;Dzień Księgarza, Dzień Telewizji dla Dzieci
14.12;Rocznica zamachu butowego na George’a Busha
15.12;Dzień Ludwika Zamenhofa
17.12;Dzień bez Przekleństw
18.12;Międzynarodowy Dzień Emigrantów
19.12;Dzień wiecznie zielonych roślin
20.12;Dzień Ryby
21.12;Światowy Dzień Pozdrawiania Brunetek, Dzień Orgazmu
22.12;Dzień Loterii Świątecznej w Hiszpanii, Święto Godowe (Słowianie), Dzień Jedności Zimbabwe
23.12;Światowy Dzień Snowboardu
24.12;Dzień Raju
25.12;Dzień ciasta dyniowego, Dzień Quaid-e-Azama
27.12;Dzień odpoczynku po świętach
28.12;Międzynarodowy Dzień Pocałunku
29.12;Dzień Narodzin Niedźwiedzi Polarnych
30.12;Dzień Serka Wiejskiego, Dzień José Rizala, Międzynarodowy Przedostatni Dzień Roku
31.12;Dzień bez bielizny
